PLC_MAC_address,Serial Number,Enet_MAC_Address,comment,Shift,dateMGF,Base_PN,issue_mod,mfg_Location,developer_features,PIB_PN,base_PN_at_MFG,Config_Issue_at_MFG,HW_product_name_Part1,HW_product_name_Part2,Timestamp
0C73EBAA00D7,,0C73EBAB00D7,,,,,,,,,,,,,
0C73EBAA00D8,,0C73EBAB00D8,,,,,,,,,,,,,
0C73EBAA00D9,,0C73EBAB00D9,,,,,,,,,,,,,
0C73EBAA00DA,,0C73EBAB00DA,,,,,,,,,,,,,
0C73EBAA00DB,,0C73EBAB00DB,,,,,,,,,,,,,
0C73EBAA00DC,,0C73EBAB00DC,,,,,,,,,,,,,
0C73EBAA00DD,,0C73EBAB00DD,,,,,,,,,,,,,
0C73EBAA00DE,,0C73EBAB00DE,,,,,,,,,,,,,
0C73EBAA00DF,,0C73EBAB00DF,,,,,,,,,,,,,
0C73EBAA00E0,,0C73EBAB00E0,,,,,,,,,,,,,
0C73EBAA00E1,,0C73EBAB00E1,,,,,,,,,,,,,
0C73EBAA00E2,,0C73EBAB00E2,,,,,,,,,,,,,
0C73EBAA00E3,,0C73EBAB00E3,,,,,,,,,,,,,
0C73EBAA00E4,,0C73EBAB00E4,,,,,,,,,,,,,
0C73EBAA00E5,,0C73EBAB00E5,,,,,,,,,,,,,
0C73EBAA00E6,,0C73EBAB00E6,,,,,,,,,,,,,
0C73EBAA00E7,,0C73EBAB00E7,,,,,,,,,,,,,
0C73EBAA00E8,,0C73EBAB00E8,,,,,,,,,,,,,
0C73EBAA00E9,,0C73EBAB00E9,,,,,,,,,,,,,
0C73EBAA00EA,,0C73EBAB00EA,,,,,,,,,,,,,
0C73EBAA00EB,,0C73EBAB00EB,,,,,,,,,,,,,
0C73EBAA00EC,,0C73EBAB00EC,,,,,,,,,,,,,
0C73EBAA00ED,,0C73EBAB00ED,,,,,,,,,,,,,
0C73EBAA00EE,,0C73EBAB00EE,,,,,,,,,,,,,
0C73EBAA00EF,,0C73EBAB00EF,,,,,,,,,,,,,
0C73EBAA00F0,,0C73EBAB00F0,,,,,,,,,,,,,
0C73EBAA00F1,,0C73EBAB00F1,,,,,,,,,,,,,
0C73EBAA00F2,,0C73EBAB00F2,,,,,,,,,,,,,
0C73EBAA00F3,,0C73EBAB00F3,,,,,,,,,,,,,
0C73EBAA00F4,,0C73EBAB00F4,,,,,,,,,,,,,
0C73EBAA00F5,,0C73EBAB00F5,,,,,,,,,,,,,
0C73EBAA00F6,,0C73EBAB00F6,,,,,,,,,,,,,
0C73EBAA00F7,,0C73EBAB00F7,,,,,,,,,,,,,
0C73EBAA00F8,,0C73EBAB00F8,,,,,,,,,,,,,
0C73EBAA00F9,,0C73EBAB00F9,,,,,,,,,,,,,
0C73EBAA00FA,,0C73EBAB00FA,,,,,,,,,,,,,
0C73EBAA00FB,,0C73EBAB00FB,,,,,,,,,,,,,
0C73EBAA00FC,,0C73EBAB00FC,,,,,,,,,,,,,
0C73EBAA00FD,,0C73EBAB00FD,,,,,,,,,,,,,
0C73EBAA00FE,,0C73EBAB00FE,,,,,,,,,,,,,
0C73EBAA00FF,,0C73EBAB00FF,,,,,,,,,,,,,
0C73EBAA0100,,0C73EBAB0100,,,,,,,,,,,,,
0C73EBAA0101,,0C73EBAB0101,,,,,,,,,,,,,
0C73EBAA0102,,0C73EBAB0102,,,,,,,,,,,,,
0C73EBAA0103,,0C73EBAB0103,,,,,,,,,,,,,
0C73EBAA0104,,0C73EBAB0104,,,,,,,,,,,,,
0C73EBAA0105,,0C73EBAB0105,,,,,,,,,,,,,
0C73EBAA0106,,0C73EBAB0106,,,,,,,,,,,,,
0C73EBAA0107,,0C73EBAB0107,,,,,,,,,,,,,
0C73EBAA0108,,0C73EBAB0108,,,,,,,,,,,,,
0C73EBAA0109,,0C73EBAB0109,,,,,,,,,,,,,
0C73EBAA010A,,0C73EBAB010A,,,,,,,,,,,,,
0C73EBAA010B,,0C73EBAB010B,,,,,,,,,,,,,
0C73EBAA010C,,0C73EBAB010C,,,,,,,,,,,,,
0C73EBAA010D,,0C73EBAB010D,,,,,,,,,,,,,
0C73EBAA010E,,0C73EBAB010E,,,,,,,,,,,,,
0C73EBAA010F,,0C73EBAB010F,,,,,,,,,,,,,
0C73EBAA0110,,0C73EBAB0110,,,,,,,,,,,,,
0C73EBAA0111,,0C73EBAB0111,,,,,,,,,,,,,
0C73EBAA0112,,0C73EBAB0112,,,,,,,,,,,,,
0C73EBAA0113,,0C73EBAB0113,,,,,,,,,,,,,
0C73EBAA0114,,0C73EBAB0114,,,,,,,,,,,,,
0C73EBAA0115,,0C73EBAB0115,,,,,,,,,,,,,
0C73EBAA0116,,0C73EBAB0116,,,,,,,,,,,,,
0C73EBAA0117,,0C73EBAB0117,,,,,,,,,,,,,
0C73EBAA0118,,0C73EBAB0118,,,,,,,,,,,,,
0C73EBAA0119,,0C73EBAB0119,,,,,,,,,,,,,
0C73EBAA011A,,0C73EBAB011A,,,,,,,,,,,,,
0C73EBAA011B,,0C73EBAB011B,,,,,,,,,,,,,
0C73EBAA011C,,0C73EBAB011C,,,,,,,,,,,,,
0C73EBAA011D,,0C73EBAB011D,,,,,,,,,,,,,
0C73EBAA011E,,0C73EBAB011E,,,,,,,,,,,,,
0C73EBAA011F,,0C73EBAB011F,,,,,,,,,,,,,
0C73EBAA0120,,0C73EBAB0120,,,,,,,,,,,,,
0C73EBAA0121,,0C73EBAB0121,,,,,,,,,,,,,
0C73EBAA0122,,0C73EBAB0122,,,,,,,,,,,,,
0C73EBAA0123,,0C73EBAB0123,,,,,,,,,,,,,
0C73EBAA0124,,0C73EBAB0124,,,,,,,,,,,,,
0C73EBAA0125,,0C73EBAB0125,,,,,,,,,,,,,
0C73EBAA0126,,0C73EBAB0126,,,,,,,,,,,,,
0C73EBAA0127,,0C73EBAB0127,,,,,,,,,,,,,
0C73EBAA0128,,0C73EBAB0128,,,,,,,,,,,,,
0C73EBAA0129,,0C73EBAB0129,,,,,,,,,,,,,
0C73EBAA012A,,0C73EBAB012A,,,,,,,,,,,,,
0C73EBAA012B,,0C73EBAB012B,,,,,,,,,,,,,
0C73EBAA012C,,0C73EBAB012C,,,,,,,,,,,,,
0C73EBAA012D,,0C73EBAB012D,,,,,,,,,,,,,
0C73EBAA012E,,0C73EBAB012E,,,,,,,,,,,,,
0C73EBAA012F,,0C73EBAB012F,,,,,,,,,,,,,
0C73EBAA0130,,0C73EBAB0130,,,,,,,,,,,,,
0C73EBAA0131,,0C73EBAB0131,,,,,,,,,,,,,
0C73EBAA0132,,0C73EBAB0132,,,,,,,,,,,,,
0C73EBAA0133,,0C73EBAB0133,,,,,,,,,,,,,
0C73EBAA0134,,0C73EBAB0134,,,,,,,,,,,,,
0C73EBAA0135,,0C73EBAB0135,,,,,,,,,,,,,
0C73EBAA0136,,0C73EBAB0136,,,,,,,,,,,,,
0C73EBAA0137,,0C73EBAB0137,,,,,,,,,,,,,
0C73EBAA0138,,0C73EBAB0138,,,,,,,,,,,,,
0C73EBAA0139,,0C73EBAB0139,,,,,,,,,,,,,
0C73EBAA013A,,0C73EBAB013A,,,,,,,,,,,,,
0C73EBAA013B,,0C73EBAB013B,,,,,,,,,,,,,
0C73EBAA013C,,0C73EBAB013C,,,,,,,,,,,,,
0C73EBAA013D,,0C73EBAB013D,,,,,,,,,,,,,
0C73EBAA013E,,0C73EBAB013E,,,,,,,,,,,,,
0C73EBAA013F,,0C73EBAB013F,,,,,,,,,,,,,
0C73EBAA0140,,0C73EBAB0140,,,,,,,,,,,,,
0C73EBAA0141,,0C73EBAB0141,,,,,,,,,,,,,
0C73EBAA0142,,0C73EBAB0142,,,,,,,,,,,,,
0C73EBAA0143,,0C73EBAB0143,,,,,,,,,,,,,
0C73EBAA0144,,0C73EBAB0144,,,,,,,,,,,,,
0C73EBAA0145,,0C73EBAB0145,,,,,,,,,,,,,
0C73EBAA0146,,0C73EBAB0146,,,,,,,,,,,,,
0C73EBAA0147,,0C73EBAB0147,,,,,,,,,,,,,
0C73EBAA0148,,0C73EBAB0148,,,,,,,,,,,,,
0C73EBAA0149,,0C73EBAB0149,,,,,,,,,,,,,
0C73EBAA014A,,0C73EBAB014A,,,,,,,,,,,,,
0C73EBAA014B,,0C73EBAB014B,,,,,,,,,,,,,
0C73EBAA014C,,0C73EBAB014C,,,,,,,,,,,,,
0C73EBAA014D,,0C73EBAB014D,,,,,,,,,,,,,
0C73EBAA014E,,0C73EBAB014E,,,,,,,,,,,,,
0C73EBAA014F,,0C73EBAB014F,,,,,,,,,,,,,
0C73EBAA0150,,0C73EBAB0150,,,,,,,,,,,,,
0C73EBAA0151,,0C73EBAB0151,,,,,,,,,,,,,
0C73EBAA0152,,0C73EBAB0152,,,,,,,,,,,,,
0C73EBAA0153,,0C73EBAB0153,,,,,,,,,,,,,
0C73EBAA0154,,0C73EBAB0154,,,,,,,,,,,,,
0C73EBAA0155,,0C73EBAB0155,,,,,,,,,,,,,
0C73EBAA0156,,0C73EBAB0156,,,,,,,,,,,,,
0C73EBAA0157,,0C73EBAB0157,,,,,,,,,,,,,
0C73EBAA0158,,0C73EBAB0158,,,,,,,,,,,,,
0C73EBAA0159,,0C73EBAB0159,,,,,,,,,,,,,
0C73EBAA015A,,0C73EBAB015A,,,,,,,,,,,,,
0C73EBAA015B,,0C73EBAB015B,,,,,,,,,,,,,
0C73EBAA015C,,0C73EBAB015C,,,,,,,,,,,,,
0C73EBAA015D,,0C73EBAB015D,,,,,,,,,,,,,
0C73EBAA015E,,0C73EBAB015E,,,,,,,,,,,,,
0C73EBAA015F,,0C73EBAB015F,,,,,,,,,,,,,
0C73EBAA0160,,0C73EBAB0160,,,,,,,,,,,,,
0C73EBAA0161,,0C73EBAB0161,,,,,,,,,,,,,
